,person_id,full_name,given_name,last_name,gender,graduate_degree,mfa_degree,role,prize_institution,prize_name,prize_year,prize_genre,prize_type,prize_amount,elite_1,elite_2,elite_3,award
2619,217.0,Barbara Howes,Barbara,Howes,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1971.0,no genre,career,10000.0,,,,1.0
2620,301.0,C. E. Morgan,C. E.,Morgan,female,1,no mfa,winner,Lannan Foundation,Lannan Fellowship,2010.0,prose,career,50000.0,Harvard University,,,1.0
2621,301.0,C. E. Morgan,C. E.,Morgan,female,1,no mfa,winner,"United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)",USA Fellowship,2012.0,no genre,career,50000.0,Harvard University,,,1.0
2622,301.0,C. E. Morgan,C. E.,Morgan,female,1,no mfa,winner,Whiting Foundation,Whiting Award,2013.0,no genre,career,50000.0,Harvard University,,,1.0
2623,305.0,Caitriona Lally,Caitriona,Lally,female,0,no mfa,winner,Lannan Foundation,Lannan Fellowship,2019.0,prose,career,50000.0,,,,1.0
2624,316.0,Carol Ann Duffy,Carol Ann,Duffy,female,0,no mfa,winner,American Academy of Arts and Letters,E. M. Forster Award,2000.0,no genre,career,10000.0,,,,1.0
2625,316.0,Carol Ann Duffy,Carol Ann,Duffy,female,0,no mfa,winner,Lannan Foundation,Lannan Award,1995.0,poetry,career,150000.0,,,,1.0
2626,321.0,Carole Maso,Carole,Maso,female,0,no mfa,winner,Lannan Foundation,Lannan Award,1993.0,prose,career,150000.0,,,,1.0
2627,323.0,Caroline Gordon,Caroline,Gordon,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1950.0,no genre,career,10000.0,,,,1.0
2628,330.0,Carson McCullers,Carson,McCullers,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1943.0,no genre,career,10000.0,,,,1.0
