,person_id,full_name,gender,graduate_degree,mfa_degree,award,prize_amount
405,550.0,Davidh Bradley,male,1,no mfa,1.0,10000.0
406,552.0,Davidr Slavitt,male,1,no mfa,1.0,10000.0
407,553.0,Dawn Lundy Martin,female,1,no mfa,1.0,100000.0
408,555.0,De'Shawn Charles Winslow,male,1,University of Iowa,1.0,15000.0
409,556.0,Dean Young,male,1,Indiana University,1.0,10000.0
410,557.0,Debora Greger,female,1,University of Iowa,1.0,10000.0
411,558.0,Deborah Digges,female,1,University of Iowa,1.0,100000.0
412,559.0,Deborah Eisenberg,female,0,no mfa,4.0,125000.0
413,560.0,Deborah Fleming,female,1,no mfa,1.0,15000.0
414,562.0,Deborah Levy,female,0,no mfa,1.0,50000.0
415,566.0,Delisa Mulkey,female,1,Georgia State University,1.0,15000.0
416,567.0,Delmore Schwartz,male,0,no mfa,2.0,20000.0
417,569.0,Denis Johnson,male,1,University of Iowa,5.0,245000.0
418,570.0,Denise Levertov,female,0,no mfa,4.0,210000.0
419,572.0,Dennis Nurske,male,0,no mfa,1.0,50000.0
420,573.0,Dennis O'Driscoll,male,1,no mfa,2.0,160000.0
421,574.0,Derek Walcott,male,0,no mfa,1.0,500000.0
422,575.0,Diana Khoi Nguyen,female,1,Columbia University,1.0,10000.0
423,577.0,Diane Johnson,female,0,no mfa,2.0,110000.0
424,579.0,Diannely Antigua,female,1,New York University,1.0,50000.0
425,580.0,Dinaw Mengestu,male,1,Columbia University,2.0,550000.0
426,581.0,Dionisio Martínez,male,0,no mfa,1.0,50000.0
427,582.0,Doireannn Níghríofa,female,1,no mfa,1.0,50000.0
428,583.0,Dominique Morisseau,female,0,no mfa,1.0,10000.0
429,584.0,Don Bartlett,male,1,no mfa,1.0,10000.0
430,585.0,Don DeLillo,male,0,no mfa,4.0,60000.0
431,586.0,Don Mee Choi,female,1,no mfa,3.0,110000.0
432,588.0,Donald Antrim,male,0,no mfa,1.0,625000.0
433,589.0,Donald Barthelme,male,0,no mfa,1.0,10000.0
434,590.0,Donald Finkel,male,1,no mfa,1.0,10000.0
435,591.0,Donald Hall,male,1,no mfa,4.0,195000.0
436,592.0,Donald Justice,male,1,no mfa,5.0,210000.0
437,593.0,Donald Keene,male,1,no mfa,1.0,10000.0
438,594.0,Donald Margulies,male,0,no mfa,1.0,10000.0
439,595.0,Donald Ray Pollock,male,0,no mfa,1.0,25000.0
440,596.0,Donald Revell,male,1,no mfa,1.0,25000.0
441,597.0,Donika Kelly,female,1,"University of Texas, Austin",1.0,10000.0
